Mes;(f_m);(TP_{PC}) mm/d;(TP_H) mm/d;(TP_K) mm/d;(TP_C) mm/d;(TP_L) mm/d
Ene;1.08476168114581;4.75125616341864;4.61023714486969;3.86175158487908;3.80751350082179;3.74242779995304
Feb;1.11716365343977;4.89317680206621;4.74794552711904;3.9771026062456;3.92124442357361;3.85421460436722
Mar;1.12138999765203;4.9116881897159;4.76590749002113;3.99214839164123;3.93607889175863;3.86879549189951
Abr;0.988964545667997;4.33166471002583;4.20309931908899;3.52071378257807;3.47126555529467;3.41192768255459
May;0.657900915707913;2.88160601080066;2.79607889175863;2.34212725992017;2.30923221413477;2.2697581591923
Jun;0.684667762385537;2.99884479924865;2.90983799013853;2.43741723409251;2.40318384597323;2.3621037802301
Jul;0.684667762385537;2.99884479924865;2.90983799013853;2.43741723409251;2.40318384597323;2.3621037802301
Ago;0.832589809814511;3.64674336698756;3.53850669171167;2.96401972293966;2.92239023244893;2.87243484386006
Sep;1.02981920638648;4.51060812397276;4.37673162714252;3.66615637473585;3.61466541441653;3.55287626203334
Oct;1.15801831415825;5.07212021601315;4.92157783517258;4.12254519840338;4.06464428269547;3.99516318384597
Nov;1.3566564921343;5.94215543554825;5.76579009157079;4.82969711199812;4.76186428739141;4.68046489786335
Dic;1.28339985912186;5.62129138295374;5.4544494012679;4.56890349847382;4.50473350551773;4.42772951397042
Caso Base 2024;1.;4.38;4.25;3.56;3.51;3.45
